iter	Passed	Remaining
0	150	150178
1	152	76118
2	155	51714
3	157	39165
4	159	31663
5	160	26657
6	162	23057
7	164	20382
8	166	18285
9	168	16695
10	170	15317
11	172	14164
12	173	13179
13	175	12333
14	176	11612
15	178	10981
16	181	10481
17	182	9983
18	184	9533
19	186	9125
20	188	8780
21	189	8443
22	228	9709
23	230	9387
24	233	9088
25	235	8806
26	237	8550
27	240	8350
28	242	8131
29	244	7919
30	246	7716
31	248	7530
32	250	7344
33	252	7169
34	255	7039
35	263	7055
36	265	6917
37	267	6781
38	272	6707
39	274	6592
40	278	6515
41	281	6428
42	283	6313
43	285	6206
44	289	6143
45	291	6041
46	293	5955
47	310	6162
48	312	6070
49	317	6030
50	322	5999
51	325	5932
52	327	5849
53	335	5872
54	337	5791
55	340	5732
56	341	5656
57	348	5653
58	363	5799
59	365	5727
60	434	6686
61	462	7002
62	466	6943
63	494	7231
64	497	7158
65	500	7087
66	507	7062
67	508	6973
68	511	6898
69	516	6858
70	530	6944
71	535	6902
72	538	6833
73	547	6851
74	549	6783
75	551	6709
76	553	6640
77	560	6622
78	562	6558
79	569	6547
80	575	6530
81	577	6470
82	579	6405
83	589	6430
84	590	6360
85	618	6568
86	620	6511
87	622	6454
88	627	6421
89	631	6381
90	635	6347
91	640	6323
92	645	6292
93	647	6240
94	649	6184
95	658	6200
96	660	6145
97	661	6093
98	663	6041
99	667	6009
100	671	5974
101	672	5918
102	674	5873
103	676	5828
104	678	5784
105	692	5839
106	694	5796
107	700	5781
108	701	5738
109	706	5715
110	709	5685
111	711	5643
112	713	5601
113	715	5559
114	716	5517
115	718	5472
116	719	5433
117	721	5395
118	728	5395
119	730	5356
120	732	5318
121	734	5283
122	734	5240
123	736	5203
124	739	5177
125	741	5144
126	743	5112
127	744	5073
128	747	5046
129	752	5035
130	754	5003
131	755	4969
132	757	4935
133	758	4901
134	759	4868
135	761	4835
136	762	4803
137	765	4781
138	766	4749
139	768	4718
140	769	4687
141	770	4656
142	772	4627
143	773	4598
144	774	4569
145	776	4540
146	780	4526
147	781	4498
148	784	4477
149	785	4451
150	786	4424
151	788	4398
152	789	4372
153	791	4347
154	796	4340
155	797	4316
156	799	4291
157	800	4264
158	801	4237
159	802	4210
160	802	4184
161	803	4158
162	804	4133
163	805	4108
164	809	4094
165	810	4070
166	811	4046
167	812	4022
168	813	3998
169	814	3977
170	816	3956
171	818	3938
172	819	3917
173	820	3895
174	821	3873
175	822	3851
176	823	3830
177	824	3808
178	827	3797
179	829	3780
180	830	3758
181	832	3741
182	834	3723
183	835	3705
184	837	3687
185	838	3668
186	842	3663
187	844	3646
188	845	3629
189	847	3612
190	849	3596
191	850	3577
192	851	3558
193	851	3539
194	852	3520
195	853	3502
196	856	3492
197	857	3474
198	858	3457
199	860	3440
200	861	3423
201	862	3407
202	863	3390
203	864	3372
204	865	3355
205	866	3338
206	867	3322
207	868	3306
208	869	3290
209	870	3275
210	873	3266
211	874	3251
212	876	3238
213	879	3231
214	881	3219
215	884	3211
216	886	3199
217	888	3185
218	889	3171
219	890	3157
220	892	3144
221	893	3130
222	894	3118
223	896	3104
224	900	3102
225	902	3092
226	904	3081
227	906	3068
228	907	3055
229	908	3042
230	909	3029
231	911	3015
232	915	3012
233	916	2999
234	917	2986
235	918	2973
236	919	2960
237	921	2949
238	922	2937
239	923	2924
240	924	2912
241	929	2912
242	931	2902
243	932	2890
244	934	2880
245	936	2869
246	937	2857
247	938	2845
248	940	2837
249	944	2833
250	945	2821
251	946	2809
252	947	2799
253	949	2787
254	950	2775
255	951	2764
256	952	2754
257	954	2745
258	959	2743
259	961	2735
260	962	2725
261	963	2715
262	965	2706
263	967	2696
264	968	2685
265	969	2675
266	973	2673
267	975	2663
268	976	2654
269	978	2644
270	979	2635
271	980	2625
272	982	2617
273	984	2607
274	987	2603
275	988	2593
276	989	2583
277	990	2573
278	991	2562
279	992	2552
280	993	2543
281	994	2532
282	995	2522
283	996	2512
284	997	2502
285	998	2493
286	1002	2490
287	1003	2480
288	1004	2471
289	1005	2462
290	1006	2453
291	1008	2444
292	1009	2434
293	1010	2425
294	1011	2416
295	1012	2407
296	1013	2398
297	1019	2401
298	1020	2393
299	1021	2384
300	1025	2380
301	1026	2372
302	1030	2369
303	1032	2364
304	1035	2358
305	1036	2350
306	1039	2347
307	1041	2340
308	1043	2332
309	1044	2325
310	1046	2318
311	1048	2312
312	1049	2304
313	1050	2295
314	1051	2287
315	1052	2278
316	1053	2269
317	1054	2261
318	1057	2257
319	1058	2249
320	1059	2241
321	1060	2232
322	1061	2224
323	1062	2216
324	1063	2208
325	1064	2200
326	1065	2192
327	1066	2184
328	1067	2176
329	1068	2168
330	1071	2165
331	1072	2157
332	1073	2149
333	1074	2141
334	1075	2134
335	1076	2127
336	1077	2120
337	1078	2112
338	1079	2104
339	1080	2097
340	1081	2089
341	1082	2082
342	1085	2078
343	1086	2071
344	1087	2063
345	1088	2056
346	1089	2049
347	1090	2042
348	1091	2035
349	1091	2027
350	1092	2020
351	1093	2013
352	1094	2006
353	1095	1999
354	1096	1992
355	1099	1988
356	1100	1982
357	1101	1975
358	1102	1968
359	1103	1961
360	1104	1954
361	1105	1947
362	1106	1940
363	1106	1934
364	1107	1927
365	1108	1920
366	1109	1914
367	1110	1907
368	1113	1904
369	1114	1898
370	1115	1892
371	1117	1885
372	1118	1879
373	1119	1872
374	1119	1866
375	1120	1860
376	1121	1853
377	1122	1847
378	1123	1840
379	1124	1834
380	1125	1828
381	1129	1826
382	1130	1820
383	1131	1814
384	1132	1808
385	1133	1802
386	1134	1796
387	1134	1790
388	1135	1784
389	1136	1778
390	1137	1771
391	1138	1765
392	1139	1759
393	1142	1757
394	1143	1752
395	1144	1746
396	1145	1740
397	1146	1734
398	1147	1728
399	1148	1722
400	1149	1716
401	1150	1711
402	1151	1705
403	1152	1699
404	1153	1694
405	1153	1688
406	1157	1686
407	1158	1680
408	1159	1674
409	1159	1669
410	1160	1663
411	1161	1658
412	1162	1652
413	1163	1646
414	1164	1641
415	1165	1635
416	1166	1630
417	1167	1625
418	1168	1619
419	1172	1619
420	1174	1615
421	1175	1610
422	1177	1606
423	1179	1601
424	1180	1596
425	1181	1591
426	1182	1587
427	1187	1586
428	1188	1581
429	1188	1576
430	1189	1570
431	1190	1565
432	1191	1560
433	1192	1555
434	1193	1550
435	1194	1544
436	1195	1539
437	1196	1535
438	1198	1531
439	1199	1526
440	1201	1522
441	1202	1518
442	1204	1513
443	1205	1509
444	1207	1505
445	1211	1504
446	1212	1500
447	1214	1496
448	1215	1491
449	1217	1487
450	1218	1483
451	1219	1478
452	1221	1474
453	1224	1472
454	1226	1468
455	1243	1483
456	1245	1479
457	1247	1475
458	1248	1471
459	1250	1468
460	1252	1464
461	1257	1464
462	1260	1461
463	1262	1458
464	1264	1454
465	1266	1450
466	1267	1446
467	1272	1446
468	1273	1442
469	1275	1438
470	1293	1452
471	1295	1449
472	1297	1445
473	1299	1441
474	1303	1440
475	1305	1437
476	1307	1433
477	1309	1429
478	1310	1425
479	1312	1421
480	1314	1418
481	1317	1416
482	1319	1412
483	1321	1408
484	1322	1404
